DC_PRODUTO,TOKENS,TAGS
MANILKARA EXCELSA (DUCKE) STANDL- MAÇARANDUBA- 24- PRANCHA,"['MANILKARA', 'EXCELSA', '(DUCKE)', 'STANDL-', 'MAÇARANDUBA-', '24-', 'PRANCHA']","[0, 0, 0, 0, 0, 0, 0]"
LOURO-FAIA SERRADA EM SARRAFO,"['LOURO-FAIA', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
QUARUBA-CEDRO SERRADA EM CAIBRO,"['QUARUBA-CEDRO', 'SERRADA', 'EM', 'CAIBRO']","[0, 0, 0, 0]"
GUARUBA-CEDRO MADEIRA SERR EM TABUA,"['GUARUBA-CEDRO', 'MADEIRA', 'SERR', 'EM', 'TABUA']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TABUA DA ESSENCIA MUIRACATIARA ( ASTRONIUM ULEI MATTICK),"['MADEIRA', 'SERRADA', 'EM', 'TABUA', 'DA', 'ESSENCIA', 'MUIRACATIARA', '(', 'ASTRONIUM', 'ULEI', 'MATTICK)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PLACA MADEIRA 25CM LARG(SETA E NOME DESVIO),"['PLACA', 'MADEIRA', '25CM', 'LARG(SETA', 'E', 'NOME', 'DESVIO)']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA DE JATOBA -TIPO: VIGA,"['MADEIRA', 'SERRADA', 'DE', 'JATOBA', '-TIPO:', 'VIGA']","[0, 0, 0, 0, 0, 0]"
MADEIRA BENEFICIADA TATAJUBA,"['MADEIRA', 'BENEFICIADA', 'TATAJUBA']","[0, 0, 0]"
PEQUIARANA MADEIRA SERRADA TABUA,"['PEQUIARANA', 'MADEIRA', 'SERRADA', 'TABUA']","[0, 0, 0, 0]"
MAPARAJUBA - SARRAFO,"['MAPARAJUBA', '-', 'SARRAFO']","[0, 0, 0]"
PORTA DE FICHA ROLADA OU INTEIRA,"['PORTA', 'DE', 'FICHA', 'ROLADA', 'OU', 'INTEIRA']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM CAIBRO DA ESSÊNCIA - ANGELIM-VERMELHO,"['MADEIRA', 'SERRADA', 'EM', 'CAIBRO', 'DA', 'ESSÊNCIA', '-', 'ANGELIM-VERMELHO']","[0, 0, 0, 0, 0, 0, 0, 0]"
"VISOR TABICAO 0,40X0,60CM","['VISOR', 'TABICAO', '0,40X0,60CM']","[0, 0, 0]"
MATAMATA-CI SERRADO EM VIGAS,"['MATAMATA-CI', 'SERRADO', 'EM', 'VIGAS']","[0, 0, 0, 0]"
LINHAS 3.5,"['LINHAS', '3.5']","[0, 0]"
SARRAFO 10X3CM PINUS,"['SARRAFO', '10X3CM', 'PINUS']","[0, 0, 0]"
"CAIBRO DE 2,5 METROS","['CAIBRO', 'DE', '2,5', 'METROS']","[0, 0, 0, 0]"
TANIBUCA SERR. RIPAS,"['TANIBUCA', 'SERR.', 'RIPAS']","[0, 0, 0]"
JATOBA 24 - MADEIRA SERRADA APL. 2 FACES (S2S),"['JATOBA', '24', '-', 'MADEIRA', 'SERRADA', 'APL.', '2', 'FACES', '(S2S)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PRANCHA - ANGELIM-PEDRA (HYMENOLOBIUM PETRAEUM) BRUTO, NORMAL, FAS, AD, .","['PRANCHA', '-', 'ANGELIM-PEDRA', '(HYMENOLOBIUM', 'PETRAEUM)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CAIBRO ANGELIM VERMELHO 7 0M,"['CAIBRO', 'ANGELIM', 'VERMELHO', '7', '0M']","[0, 0, 0, 0, 0]"
TRIO FORRO PE DE SERRA,"['TRIO', 'FORRO', 'PE', 'DE', 'SERRA']","[0, 0, 0, 0, 0]"
ROXINHO SERRADO TABUA,"['ROXINHO', 'SERRADO', 'TABUA']","[0, 0, 0]"
"SANDUICHE MASS 11 - 2,50","['SANDUICHE', 'MASS', '11', '-', '2,50']","[0, 0, 0, 0, 0]"
ANGELIM VERM.MAD.INDUST.DE RESDUO RIPA,"['ANGELIM', 'VERM.MAD.INDUST.DE', 'RESDUO', 'RIPA']","[0, 0, 0, 0]"
LINHA ANGELIM VERMELHO 5X11 4 5M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X11', '4', '5M']","[0, 0, 0, 0, 0, 0]"
MADEIRA DA ESPECIE BREU SERRADA EM VIGA,"['MADEIRA', 'DA', 'ESPECIE', 'BREU', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]"
LINHA CUPIUBA 5 X 14 DE 6.00,"['LINHA', 'CUPIUBA', '5', 'X', '14', 'DE', '6.00']","[0, 0, 0, 0, 0, 0, 0]"
PORTA LAMINADA 2.10 X 70 PINUS CXD,"['PORTA', 'LAMINADA', '2.10', 'X', '70', 'PINUS', 'CXD']","[0, 0, 0, 0, 0, 0, 0]"
ORELHA DE NEGRO SERRADA EM VIGOTA,"['ORELHA', 'DE', 'NEGRO', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0, 0]"
- MADEIRA SERRADA (PRANCHA) - DA ESPCIE - MAÇARA,"['-', 'MADEIRA', 'SERRADA', '(PRANCHA)', '-', 'DA', 'ESPCIE', '-', 'MAÇARA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
PALITO CHURRASCO 50UND BAMBU BILLA,"['PALITO', 'CHURRASCO', '50UND', 'BAMBU', 'BILLA']","[0, 0, 0, 0, 0]"
UXI MADEIRA SERRADA EM RIPAS,"['UXI', 'MADEIRA', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0, 0]"
PORTA LONDRES + EXUBERANCE 2.10 1.10 PINUS,"['PORTA', 'LONDRES', '+', 'EXUBERANCE', '2.10', '1.10', 'PINUS']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA ANGELIM VERMELHO 5X9 3,5M","['LINHA', 'ANGELIM', 'VERMELHO', '5X9', '3,5M']","[0, 0, 0, 0, 0]"
MAPARAJUBA SERRADA EM RIPA,"['MAPARAJUBA', 'SERRADA', 'EM', 'RIPA']","[0, 0, 0, 0]"
MADEIRA SERRADA NA ESPECIE GUAJARA - RIPAS,"['MADEIRA', 'SERRADA', 'NA', 'ESPECIE', 'GUAJARA', '-', 'RIPAS']","[0, 0, 0, 0, 0, 0, 0]"
LINHA 5X11 ANGELIN,"['LINHA', '5X11', 'ANGELIN']","[0, 0, 0]"
MADEIRA SERRADA EM SARRAFOS DA ESSENCIA - TIMBORANA,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESSENCIA', '-', 'TIMBORANA']","[0, 0, 0, 0, 0, 0, 0, 0]"
DINIZIA EXCELSA - FAVEIRA-FERRO - VIGOTA,"['DINIZIA', 'EXCELSA', '-', 'FAVEIRA-FERRO', '-', 'VIGOTA']","[0, 0, 0, 0, 0, 0]"
"RIPA MASSARANDUBA 5,0MT MADEIRA","['RIPA', 'MASSARANDUBA', '5,0MT', 'MADEIRA']","[0, 0, 0, 0]"
"MOURAO DE EUC. IMUNIZADO 6X8 3,0","['MOURAO', 'DE', 'EUC.', 'IMUNIZADO', '6X8', '3,0']","[0, 0, 0, 0, 0, 0]"
"TABUAS ESP BAJAO PARKIA PARAENSIS DUCKE 2,5X10/12/20/25/30","['TABUAS', 'ESP', 'BAJAO', 'PARKIA', 'PARAENSIS', 'DUCKE', '2,5X10/12/20/25/30']","[0, 0, 0, 0, 0, 0, 0]"
"CAIBRO MIXTO 2,0MT","['CAIBRO', 'MIXTO', '2,0MT']","[0, 0, 0]"
JATOBA MADEIRA SERRADA EM RIPAS,"['JATOBA', 'MADEIRA', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0, 0]"
"CAIXA DE PORTA MISTA 0,70X2,10","['CAIXA', 'DE', 'PORTA', 'MISTA', '0,70X2,10']","[0, 0, 0, 0, 0]"
PECAS DE ALISAR DE MADEIRA JATOBA,"['PECAS', 'DE', 'ALISAR', 'DE', 'MADEIRA', 'JATOBA']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA NA ESPECIE SUMAUMA- TABUA,"['MADEIRA', 'SERRADA', 'NA', 'ESPECIE', 'SUMAUMA-', 'TABUA']","[0, 0, 0, 0, 0, 0]"
PORTA 2.10X0.80 CX DUPLA ANDIROBA UN 1,"['PORTA', '2.10X0.80', 'CX', 'DUPLA', 'ANDIROBA', 'UN', '1']","[0, 0, 0, 0, 0, 0, 0]"
"FRECHAL ANGELIM 5X5 5,0MT","['FRECHAL', 'ANGELIM', '5X5', '5,0MT']","[0, 0, 0, 0]"
MADEIRA SERRADA VIGA DA ESPECIE DE MIRINDIBA - BUCHENAVIA CAPITATA (VAHL) EICHLE,"['MADEIRA', 'SERRADA', 'VIGA', 'DA', 'ESPECIE', 'DE', 'MIRINDIBA', '-', 'BUCHENAVIA', 'CAPITATA', '(VAHL)', 'EICHLE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"CAIXA CX01186 24,5X15X7,5 C/ 9-D. DOBR.","['CAIXA', 'CX01186', '24,5X15X7,5', 'C/', '9-D.', 'DOBR.']","[0, 0, 0, 0, 0, 0]"
ANGELIN PEDRA SERRADO PRANCHAO,"['ANGELIN', 'PEDRA', 'SERRADO', 'PRANCHAO']","[0, 0, 0, 0]"
TUBO 40CM,"['TUBO', '40CM']","[0, 0]"
MADEIRA SERRADA EM VIGAS NA ESPÉCIE JARANA,"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'NA', 'ESPÉCIE', 'JARANA']","[0, 0, 0, 0, 0, 0, 0]"
BARROTE MADEIRA SERRADO CAIBRINHO 3X5,"['BARROTE', 'MADEIRA', 'SERRADO', 'CAIBRINHO', '3X5']","[0, 0, 0, 0, 0]"
"ESTEIO ANGELIM 15 X 15 - 1,00 METRO","['ESTEIO', 'ANGELIM', '15', 'X', '15', '-', '1,00', 'METRO']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA MACARANDUBA SERRADA EM VIGA,"['MADEIRA', 'MACARANDUBA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0]"
MANILKARA HUBERI (DUCKE) CHEVALIER- MAÇARANDUBA - 29 - VIGOTA,"['MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER-', 'MAÇARANDUBA', '-', '29', '-', 'VIGOTA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"BARROTE 5X6 5,00MT","['BARROTE', '5X6', '5,00MT']","[0, 0, 0]"
ORELHA DE MACACO SERRADO EM CAIBRO(CAIBRINHO),"['ORELHA', 'DE', 'MACACO', 'SERRADO', 'EM', 'CAIBRO(CAIBRINHO)']","[0, 0, 0, 0, 0, 0]"
S2S (VIGAS) BARROTE,"['S2S', '(VIGAS)', 'BARROTE']","[0, 0, 0]"
MADEIRA SERRADA TABUA - OITICICA,"['MADEIRA', 'SERRADA', 'TABUA', '-', 'OITICICA']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA MORCEGUEIRA (RIPAS),"['MADEIRA', 'SERRADA', 'MORCEGUEIRA', '(RIPAS)']","[0, 0, 0, 0]"
MADEIRA SERRADA UXI (CAIBRINHO),"['MADEIRA', 'SERRADA', 'UXI', '(CAIBRINHO)']","[0, 0, 0, 0]"
LINHA MASSARANDUBA 5X10CM,"['LINHA', 'MASSARANDUBA', '5X10CM']","[0, 0, 0]"
"RIPA MIXTA 2,0MT X1,2CM -MADEIRA","['RIPA', 'MIXTA', '2,0MT', 'X1,2CM', '-MADEIRA']","[0, 0, 0, 0, 0]"
"LINHA 3X4 5,5MT ANGELIM","['LINHA', '3X4', '5,5MT', 'ANGELIM']","[0, 0, 0, 0]"
MADEIRA BENEFICIADA (DECKING) COMERCIAL DA ESPECIE QUARUBA,"['MADEIRA', 'BENEFICIADA', '(DECKING)', 'COMERCIAL', 'DA', 'ESPECIE', 'QUARUBA']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA MISTA 5X11 2,0 MT","['LINHA', 'MISTA', '5X11', '2,0', 'MT']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA (RIPA) GOUPIA GLABRA CUPIUBA,"['MADEIRA', 'SERRADA', '(RIPA)', 'GOUPIA', 'GLABRA', 'CUPIUBA']","[0, 0, 0, 0, 0, 0]"
"BATENTE S/ REBAIXO 3,50 X 11,00 X 2,10","['BATENTE', 'S/', 'REBAIXO', '3,50', 'X', '11,00', 'X', '2,10']","[0, 0, 0, 0, 0, 0, 0, 0]"
PORTA FICHADA 2.10X60,"['PORTA', 'FICHADA', '2.10X60']","[0, 0, 0]"
ANGELIN VERMELHO (RIPAS),"['ANGELIN', 'VERMELHO', '(RIPAS)']","[0, 0, 0]"
BANCO DE MADEIRA 1 METRO,"['BANCO', 'DE', 'MADEIRA', '1', 'METRO']","[0, 0, 0, 0, 0]"
QUARUBARANA MADEIRA SERR EM CAIBRO,"['QUARUBARANA', 'MADEIRA', 'SERR', 'EM', 'CAIBRO']","[0, 0, 0, 0, 0]"
URUCURANA MADEIRA SERRADA EM VIGAS,"['URUCURANA', 'MADEIRA', 'SERRADA', 'EM', 'VIGAS']","[0, 0, 0, 0, 0]"
"LINHA 5X6 ANGELIM 3,00MT","['LINHA', '5X6', 'ANGELIM', '3,00MT']","[0, 0, 0, 0]"
MADEIRA SERRADA DA ESPECIE FAVA-ORELHA-DE-MACACO TIPO TABUA(TAIPA),"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'FAVA-ORELHA-DE-MACACO', 'TIPO', 'TABUA(TAIPA)']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA 5X11 DE ANGELIM C/ 4,5M","['LINHA', '5X11', 'DE', 'ANGELIM', 'C/', '4,5M']","[0, 0, 0, 0, 0, 0]"
"LINHA DE ANGELIM 5X9 C/ 5,0 MT","['LINHA', 'DE', 'ANGELIM', '5X9', 'C/', '5,0', 'MT']","[0, 0, 0, 0, 0, 0, 0]"
LINHA MISTA 5 X 11 3.0,"['LINHA', 'MISTA', '5', 'X', '11', '3.0']","[0, 0, 0, 0, 0, 0]"
"LINHA ANGELIN 5,0X18CM C/3,5MTS","['LINHA', 'ANGELIN', '5,0X18CM', 'C/3,5MTS']","[0, 0, 0, 0]"
"LINHA MASS 5 X 28 - 1,50","['LINHA', 'MASS', '5', 'X', '28', '-', '1,50']","[0, 0, 0, 0, 0, 0, 0]"
JARANA SERRADO EM M.I.R. RIPA,"['JARANA', 'SERRADO', 'EM', 'M.I.R.', 'RIPA']","[0, 0, 0, 0, 0]"
MACARANDUBA-MADEIRA SERRADA EM (SARRAFO),"['MACARANDUBA-MADEIRA', 'SERRADA', 'EM', '(SARRAFO)']","[0, 0, 0, 0]"
CASCA SECA MADEIRA SERRADA EM SARRAFOS,"['CASCA', 'SECA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0]"
CAIBRO GUAJAR? C 5 50 MTS,"['CAIBRO', 'GUAJAR?', 'C', '5', '50', 'MTS']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA - ANGELIM-PEDRA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', '-', 'ANGELIM-PEDRA']","[0, 0, 0, 0, 0, 0]"
LOURO MADEIRA SERRADA,"['LOURO', 'MADEIRA', 'SERRADA']","[0, 0, 0]"
MADEIRA SERRADA DA ESPECIE PEQUIA(CARYOCAR GRACILE WITTM.),"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'PEQUIA(CARYOCAR', 'GRACILE', 'WITTM.)']","[0, 0, 0, 0, 0, 0, 0]"
CAIBRO NAO APARELHADO 5X6CM,"['CAIBRO', 'NAO', 'APARELHADO', '5X6CM']","[0, 0, 0, 0]"
TABUA MELHOR 23-MADEIRA,"['TABUA', 'MELHOR', '23-MADEIRA']","[0, 0, 0]"
CASCA DE PINUS 5KG,"['CASCA', 'DE', 'PINUS', '5KG']","[0, 0, 0, 0]"
JARANA EM SARRAFOS,"['JARANA', 'EM', 'SARRAFOS']","[0, 0, 0]"
PREND ROUPA MADEIRA PARANA C/12 1X1,"['PREND', 'ROUPA', 'MADEIRA', 'PARANA', 'C/12', '1X1']","[0, 0, 0, 0, 0, 0]"
TAXI MADEIRA SERRADO EM VIGA,"['TAXI', 'MADEIRA', 'SERRADO', 'EM', 'VIGA']","[0, 0, 0, 0, 0]"
UXIRANA MADEIRA SERRADA EM VIGA,"['UXIRANA', 'MADEIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0]"
JATOBA MAD IND DE RESIDUOS RIPAS,"['JATOBA', 'MAD', 'IND', 'DE', 'RESIDUOS', 'RIPAS']","[0, 0, 0, 0, 0, 0]"
MOURAO 09 X 09 CM - MAC,"['MOURAO', '09', 'X', '09', 'CM', '-', 'MAC']","[0, 0, 0, 0, 0, 0, 0]"
PRODUTO ACABADO - PORTAIS - DA ESPECIE IPEUBA,"['PRODUTO', 'ACABADO', '-', 'PORTAIS', '-', 'DA', 'ESPECIE', 'IPEUBA']","[0, 0, 0, 0, 0, 0, 0, 0]"
LINHA ANGELIM VERMELHO 5X18 7 5M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X18', '7', '5M']","[0, 0, 0, 0, 0, 0]"
MACARANDUBA 28 MADEIRA SERRADA (VIGA),"['MACARANDUBA', '28', 'MADEIRA', 'SERRADA', '(VIGA)']","[0, 0, 0, 0, 0]"
ELIPSES PARA PORTICO HAVAIANAS,"['ELIPSES', 'PARA', 'PORTICO', 'HAVAIANAS']","[0, 0, 0, 0]"
"LINHA MADEIRA MISTA 3X5 7,50M","['LINHA', 'MADEIRA', 'MISTA', '3X5', '7,50M']","[0, 0, 0, 0, 0]"
TIMBORANA MADEIRA SERRADA EM PRANCHA,"['TIMBORANA', 'MADEIRA', 'SERRADA', 'EM', 'PRANCHA']","[0, 0, 0, 0, 0]"
"LINHA MIX 5X14 6,0MT","['LINHA', 'MIX', '5X14', '6,0MT']","[0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA( ESSENCIA MAC ),"['MADEIRA', 'SERRADA', 'EM', 'VIGA(', 'ESSENCIA', 'MAC', ')']","[0, 0, 0, 0, 0, 0, 0]"
RIPA ANGILIM 2,"['RIPA', 'ANGILIM', '2']","[0, 0, 0]"
PRNCHAO ESP. JATOBA HYMENAEA COURBARIL L.,"['PRNCHAO', 'ESP.', 'JATOBA', 'HYMENAEA', 'COURBARIL', 'L.']","[0, 0, 0, 0, 0, 0]"
MACARANDUBA DORMENTE,"['MACARANDUBA', 'DORMENTE']","[0, 0]"
RES.APROVT. INDUSTRIAL DE MACARANDUBA-CAIBRO CURTO,"['RES.APROVT.', 'INDUSTRIAL', 'DE', 'MACARANDUBA-CAIBRO', 'CURTO']","[0, 0, 0, 0, 0]"
MAD. ESP. MAÇARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALIER) INDUSTRIALIZADA DE RESIDUO (CAIBRINHO),"['MAD.', 'ESP.', 'MAÇARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER)', 'INDUSTRIALIZADA', 'DE', 'RESIDUO', '(CAIBRINHO)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PORTA DIAGONAL 80CM X 2,10MT","['PORTA', 'DIAGONAL', '80CM', 'X', '2,10MT']","[0, 0, 0, 0, 0]"
IPE SERRADO PRANCHAO,"['IPE', 'SERRADO', 'PRANCHAO']","[0, 0, 0]"
LINHA 5X30CM MISTA,"['LINHA', '5X30CM', 'MISTA']","[0, 0, 0]"
ANGELIM VERMELHO MADEIRA SERRADA(CAIBRO),"['ANGELIM', 'VERMELHO', 'MADEIRA', 'SERRADA(CAIBRO)']","[0, 0, 0, 0]"
MADEIRA SERRADA EM RIPAS DA ESPECIE - GUAJARA,"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESPECIE', '-', 'GUAJARA']","[0, 0, 0, 0, 0, 0, 0, 0]"
LINHA 6X10 3X4  05 DE 4MT,"['LINHA', '6X10', '3X4', '05', 'DE', '4MT']","[0, 0, 0, 0, 0, 0]"
MANDIOQUEIRO MAD IND RESIDUO (CAIBRINHO),"['MANDIOQUEIRO', 'MAD', 'IND', 'RESIDUO', '(CAIBRINHO)']","[0, 0, 0, 0, 0]"
LINHA 5 12 (3X5) CUPIUBA,"['LINHA', '5', '12', '(3X5)', 'CUPIUBA']","[0, 0, 0, 0, 0]"
ANDIROBA - MADEIRA SERRADA EM RIPAS,"['ANDIROBA', '-', 'MADEIRA', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0, 0, 0]"
"LINHA ANGELIM (5X11CM) 3X5 3,00MT","['LINHA', 'ANGELIM', '(5X11CM)', '3X5', '3,00MT']","[0, 0, 0, 0, 0]"
LAPELA LOURO FOLHA 15G,"['LAPELA', 'LOURO', 'FOLHA', '15G']","[0, 0, 0, 0]"
LAMBRIL JATOBA,"['LAMBRIL', 'JATOBA']","[0, 0]"
GARAPA SERRADA PRANCHA,"['GARAPA', 'SERRADA', 'PRANCHA']","[0, 0, 0]"
